t_wall,target,rtt_ms
1787859783.553,riot,15
1787859784.512,gateway,1
1787859784.525,dns,14
1787859784.552,riot,11
1787859785.513,gateway,1
1787859785.526,dns,13
1787859785.552,riot,12
1787859786.515,gateway,1
1787859786.527,dns,14
1787859786.556,riot,13
1787859787.516,gateway,2
1787859787.529,dns,13
1787859787.556,riot,11
1787859788.517,gateway,1
1787859788.529,dns,13
1787859788.556,riot,13
1787859789.518,gateway,1
1787859789.531,dns,13
1787859789.556,riot,12
1787859790.519,gateway,1
1787859790.532,dns,13
1787859790.559,riot,14
1787859791.520,gateway,1
1787859791.532,dns,13
1787859791.558,riot,13
1787859792.521,gateway,1
1787859792.534,dns,15
1787859792.562,riot,11
1787859793.522,gateway,1
1787859793.536,dns,14
1787859793.562,riot,11
1787859794.523,gateway,1
1787859794.536,dns,14
1787859794.564,riot,12
1787859795.524,gateway,1
1787859795.538,dns,13
1787859795.564,riot,13
1787859796.524,gateway,1
1787859796.537,dns,14
1787859796.564,riot,11
1787859797.525,gateway,1
1787859797.539,dns,13
1787859797.567,riot,11
1787859798.526,gateway,1
1787859798.540,dns,14
1787859798.567,riot,13
1787859799.527,gateway,1
1787859799.540,dns,15
1787859799.568,riot,14
1787859800.527,gateway,1
1787859800.540,dns,18
1787859800.570,riot,14
1787859801.528,gateway,1
1787859801.540,dns,14
1787859801.568,riot,10
1787859802.529,gateway,1
1787859802.542,dns,13
1787859802.567,riot,11
1787859803.530,gateway,2
1787859803.545,dns,14
1787859803.572,riot,12
1787859804.532,gateway,1
1787859804.545,dns,14
1787859804.572,riot,12
1787859805.533,gateway,1
1787859805.545,dns,15
1787859805.573,riot,11
1787859806.534,gateway,1
1787859806.547,dns,14
1787859806.575,riot,13
1787859807.535,gateway,1
1787859807.549,dns,13
1787859807.574,riot,13
1787859808.536,gateway,1
1787859808.549,dns,16
1787859808.579,riot,14
1787859809.536,gateway,1
1787859809.550,dns,15
1787859809.579,riot,14
1787859810.537,gateway,1
1787859810.551,dns,16
1787859810.579,riot,13
1787859811.539,gateway,2
1787859811.554,dns,14
1787859811.580,riot,14
1787859812.539,gateway,1
1787859812.552,dns,13
1787859812.578,riot,12
1787859813.541,gateway,1
1787859813.555,dns,14
1787859813.580,riot,12
1787859814.541,gateway,2
1787859814.555,dns,14
1787859814.582,riot,10
1787859815.542,gateway,1
1787859815.554,dns,15
1787859815.582,riot,12
1787859816.543,gateway,1
1787859816.555,dns,14
1787859816.582,riot,12
1787859817.544,gateway,1
1787859817.557,dns,13
1787859817.583,riot,11
1787859818.544,gateway,1
1787859818.557,dns,14
1787859818.583,riot,13
1787859819.545,gateway,1
1787859819.560,dns,14
1787859819.586,riot,13
1787859820.546,gateway,1
1787859820.559,dns,13
1787859820.586,riot,13
1787859821.548,gateway,1
1787859821.561,dns,18
1787859821.592,riot,16
1787859822.548,gateway,1
1787859822.562,dns,14
1787859822.588,riot,13
1787859823.549,gateway,1
1787859823.561,dns,14
1787859823.585,riot,11
1787859824.550,gateway,1
1787859824.562,dns,15
1787859824.589,riot,12
1787859825.550,gateway,1
1787859825.564,dns,14
1787859825.590,riot,12
1787859826.551,gateway,1
1787859826.564,dns,13
1787859826.589,riot,14
1787859827.552,gateway,1
1787859827.565,dns,14
1787859827.591,riot,11
1787859828.553,gateway,1
1787859828.567,dns,15
1787859828.594,riot,13
1787859829.553,gateway,1
1787859829.567,dns,14
1787859829.594,riot,12
1787859830.554,gateway,1
1787859830.566,dns,13
1787859830.593,riot,12
1787859831.555,gateway,1
1787859831.568,dns,17
1787859831.598,riot,12
1787859832.556,gateway,1
1787859832.569,dns,14
1787859832.595,riot,12
1787859833.557,gateway,2
1787859833.572,dns,14
1787859833.598,riot,13
1787859834.559,gateway,1
1787859834.573,dns,14
1787859834.600,riot,10
1787859835.560,gateway,2
1787859835.578,dns,14
1787859835.605,riot,13
1787859836.561,gateway,1
1787859836.575,dns,14
1787859836.600,riot,14
1787859837.562,gateway,1
1787859837.576,dns,14
1787859837.603,riot,9
1787859838.563,gateway,1
1787859838.579,dns,19
1787859838.610,riot,14
1787859839.564,gateway,5
1787859839.583,dns,23
1787859839.619,riot,13
1787859840.565,gateway,1
1787859840.580,dns,16
1787859840.609,riot,13
1787859841.565,gateway,1
1787859841.577,dns,12
1787859841.603,riot,14
1787859842.567,gateway,1
1787859842.580,dns,15
1787859842.609,riot,11
1787859843.567,gateway,1
1787859843.580,dns,14
1787859843.606,riot,12
1787859844.569,gateway,1
1787859844.583,dns,17
1787859844.615,riot,12
1787859845.571,gateway,1
1787859845.583,dns,16
1787859845.613,riot,12
1787859846.572,gateway,1
1787859846.585,dns,14
1787859846.611,riot,12
1787859847.572,gateway,1
1787859847.584,dns,17
1787859847.615,riot,11
1787859848.574,gateway,1
1787859848.588,dns,13
1787859848.616,riot,12
1787859849.575,gateway,1
