t_ns,kind,dx,dy
149164064005400,m,-1,0
149164080035200,m,-1,0
149164149022200,m,-1,0
149164159019900,m,-2,-2
149164172024700,m,-2,-1
149164174010900,m,-2,-1
149164185048100,m,-2,-2
149164191013700,m,-2,-1
149164201009600,m,-2,-1
149164214020500,m,0,-1
149164268032000,m,-1,-1
149164268980800,m,-1,0
149164313464300,m,-1,0
149164322002800,m,-1,0
149164328020300,m,-1,0
149164336992100,m,-1,0
149164350008300,m,-4,0
149164355982600,m,-2,0
149164364985100,m,-4,0
149164371968200,m,-5,0
149164381996700,m,-5,0
149164387927100,m,-6,0
149164395962600,m,-7,0
149164403971200,m,-8,0
149164411937300,m,-8,0
149164419966700,m,-9,-1
149164427962400,m,-8,0
149164435952900,m,-8,-1
149164442973900,m,-6,0
149164454017100,m,-9,-1
149164460999400,m,-5,0
149164473098500,m,-7,-1
149164478013500,m,-2,0
149164483022200,m,-1,0
149164489986900,m,-1,0
149164553295300,m,-1,-1
149164661032800,L,0,0
149164772149800,Lu,0,0
149164916072000,m,1,1
149164930041700,m,6,2
149164938989000,m,3,3
149164945959000,m,3,4
149164953961300,m,2,6
149164961951400,m,3,10
149164969943900,m,3,13
149164977954600,m,2,15
149164985951600,m,3,20
149164993948900,m,3,22
149165001963700,m,0,20
149165013030200,m,3,8
149165330063400,m,0,-1
149165341971100,m,11,-5
149165349949000,m,13,-1
149165357955500,m,23,-2
149165365991500,m,24,-1
149165373943200,m,35,-2
149165381966100,m,39,0
149165389963700,m,43,0
149165397927500,m,44,0
149165405921500,m,42,0
149165413983900,m,40,-1
149165421944600,m,36,-2
149165429933900,m,32,-3
149165437959800,m,28,-1
149165445939800,m,23,-1
149165453933700,m,20,0
149165461990100,m,15,0
149165469931000,m,12,2
149165477929000,m,10,3
149165485954800,m,7,3
149165495982600,m,6,2
149165501936400,m,6,3
149165509953300,m,7,3
149165517949300,m,9,5
149165525953200,m,10,5
149165533959000,m,10,6
149165542064800,m,12,5
149165549030900,m,8,5
149165557928900,m,14,7
149165565951600,m,12,5
149165573953800,m,13,5
149165581949500,m,13,4
149165590102200,m,12,3
149165597960200,m,12,3
149165605935900,m,10,2
149165614011300,m,9,1
149165622992900,m,7,0
149165633048200,m,7,0
149165641992900,m,4,0
149165651065400,m,5,1
149165653931800,m,3,0
149165663011700,m,5,0
149165669956500,m,5,1
149165678975800,m,7,0
149165685963800,m,6,1
149165695006100,m,8,0
149165701944900,m,8,0
149165709964100,m,7,1
149165721000900,m,6,0
149165725933900,m,4,0
149165740027700,m,4,0
149165744985400,m,1,0
149165751958600,m,1,0
149165763024700,m,1,0
149165772995900,m,1,0
149165827014400,m,0,1
149165893051400,m,0,1
149165902057300,m,0,1
149165915060800,m,-3,3
149165924011000,m,-1,2
149165930043300,m,-2,2
149165935994900,m,-3,2
149165945013500,m,-5,3
149165953967900,m,-3,2
149165961054500,m,-5,3
149165967985700,m,-3,1
149165976966600,m,-4,2
149165983959900,m,-4,2
149165992091900,m,-5,2
149165999964600,m,-6,1
149166007990200,m,-6,2
149166015954500,m,-7,1
149166023939800,m,-7,2
149166031947800,m,-7,1
149166039959000,m,-7,1
149166049984600,m,-6,1
149166056994400,m,-4,1
149166067018500,m,-5,1
149166071990300,m,-1,0
149166082983400,m,-2,1
149166091007800,m,-2,0
149166152034600,m,-1,0
149166213024100,m,-1,0
149166227046000,m,0,1
149166240998700,m,-1,0
149166254004900,m,-2,0
149166260945400,m,-2,1
149166271999700,m,-4,0
149166276975600,m,-1,0
149166287983100,m,-5,1
149166297001700,m,-3,1
149166302033500,m,-2,0
149166310945100,m,-4,1
149166318944200,m,-2,1
149166328973100,m,-3,0
149166336115300,m,-1,1
149166345995900,m,-3,0
149166352017700,m,-1,0
149166361969300,m,-2,1
149166369971400,m,-2,0
149166378012100,m,-2,0
149166384956200,m,-3,1
149166392964900,m,-1,0
149166406027000,m,-3,0
149166415037700,m,-2,0
149166422038800,m,-1,0
149166429037200,m,-1,0
149166437009700,m,-1,0
149166468037200,m,-3,0
149166485068600,m,-1,0
149166493969500,m,-1,0
149167393030700,m,-1,0
149167405962800,m,-8,-3
149167412933200,m,-5,-1
149167420948600,m,-7,-3
149167429119200,m,-6,-3
149167437994800,m,-8,-3
149167445997800,m,-5,-2
149167453974700,m,-6,-2
149167460968000,m,-4,-2
149167468931000,m,-3,-1
149167480023700,m,-3,-1
149167486983800,m,-3,-1
149167492038100,m,-1,-1
149167506017800,m,-5,-3
149167512016700,m,-2,-1
149167521012500,m,-2,-1
149167528216200,m,-2,-1
149167535988900,m,-3,-2
149167543938500,m,-3,-1
149167555137700,m,-3,-3
149167559986700,m,-2,-2
149167568026700,m,-5,-3
149167575943400,m,-6,-5
149167583977400,m,-8,-6
