t_ticks,kind,dx,dy
6262507491340,m,2,1
6262507515712,m,3,0
6262507538777,m,3,0
6262507563264,m,2,0
6262507587171,m,2,0
6262507610910,m,3,0
6262507634977,m,2,0
6262507659075,m,3,0
6262507683264,m,2,0
6262507706965,m,2,1
6262507730908,m,3,0
6262507755016,m,2,0
6262507779709,m,2,1
6262507802974,m,2,0
6262507827207,m,3,0
6262507850864,m,1,0
6262507874838,m,3,0
6262507898861,m,2,1
6262507923390,m,2,0
6262507947141,m,1,0
6262507970857,m,2,1
6262507994844,m,2,0
6262508018869,m,1,0
6262508043202,m,1,0
6262508067184,m,2,1
6262508139273,m,1,0
6262508162988,Lu,0,0
6262508162988,m,3,1
6262508186988,m,1,0
6262508211158,m,0,0
6262508234996,m,1,0
6262508307228,m,1,1
6262508331070,m,1,0
6262508355109,m,1,0
6262508475486,m,1,1
6262508547293,m,1,0
6262508570889,m,0,1
6262508619574,m,1,1
6262508715796,m,0,1
6262508739561,m,0,1
6262508787150,m,0,1
6262508859164,m,1,1
6262508882855,m,0,1
6262508906918,m,1,1
6262508979785,m,0,1
6262509002869,m,1,2
6262509027169,m,0,1
6262509052327,m,0,1
6262509074903,m,1,0
6262509099316,m,0,1
6262509122918,m,0,1
6262509146902,m,0,1
6262509171303,m,1,1
6262509194997,m,0,1
6262509219039,m,1,1
6262509242863,m,0,1
6262509266828,m,1,0
6262509290953,m,0,2
6262509314969,m,0,1
6262509317823,d,0,0
6262509338982,m,1,1
6262509363381,m,0,1
6262509386934,m,1,1
6262509411105,m,1,1
6262509435294,m,1,0
6262509459201,m,1,2
6262509482781,m,1,1
6262509507236,m,1,1
6262509530881,m,0,1
6262509555035,m,2,1
6262509579118,m,1,1
6262509602979,m,1,0
6262509627040,m,2,1
6262509651218,m,1,1
6262509674990,m,1,1
6262509698883,m,2,1
6262509723094,m,2,1
6262509747278,m,2,1
6262509770968,m,0,1
6262509773850,Au,0,0
6262509794883,m,2,0
6262509818930,m,2,1
6262509842865,m,2,1
6262509867275,m,1,1
6262509891202,m,2,0
6262509915366,m,2,1
6262509939049,m,3,1
6262509963192,m,1,1
6262509987321,m,2,0
6262510010953,m,2,1
6262510034874,m,2,0
6262510059238,m,1,0
6262510083246,m,2,0
6262510106914,m,2,1
6262510130979,m,2,0
6262510155021,m,1,1
6262510179177,m,2,0
6262510203501,m,2,1
6262510226864,m,1,0
6262510250842,m,1,0
6262510274995,m,1,0
6262510299137,m,2,1
6262510323045,m,1,0
6262510347265,m,1,0
6262510370863,m,1,0
6262510394841,m,1,0
6262510419097,m,0,0
6262510443053,m,1,0
6262510467034,m,1,0
6262510515172,m,1,0
6262510707619,m,1,0
6262510755483,m,1,0
6262511859304,L,0,0
6262512030796,Du,0,0
6262512051185,m,1,0
6262512075161,m,1,0
