t_ticks,kind,dx,dy
6251410336447,m,-2,0
6251410360360,m,-1,1
6251410384656,m,-2,0
6251410408375,m,-1,1
6251410432565,m,-2,0
6251410456680,m,-1,1
6251410480843,m,-1,0
6251410504397,m,-1,1
6251410528411,m,-1,0
6251410552426,m,-1,1
6251410576304,m,-1,0
6251410600396,m,-1,0
6251410624751,m,0,0
6251410648720,m,-1,0
6251410984676,m,0,1
6251411416832,m,0,0
6251411419258,d,0,0
6251411680751,m,0,0
6251411704613,m,1,0
6251412209860,m,1,0
6251413048901,Lu,0,0
6251413264731,m,0,1
6251413432828,m,0,1
6251413528735,m,0,1
6251413624849,m,0,1
6251413648286,m,0,1
6251413744692,m,0,1
6251413768739,m,0,0
6251413816687,m,0,1
6251413936833,m,0,1
6251414032678,m,1,0
6251414200884,m,0,1
6251414560848,m,1,1
6251414944737,m,0,0
6251415042808,m,-1,0
6251415088774,m,-1,0
6251415136929,m,0,0
6251415160866,m,-1,0
6251415256735,m,-1,-1
6251415281478,m,0,0
6251415328977,m,0,-1
6251415400826,m,-1,0
6251415424837,m,-2,-1
6251415472882,m,-1,0
6251415521101,m,-1,0
6251415544823,m,-1,-1
6251415592696,m,-1,-1
6251415665347,m,0,0
6251415736905,m,-2,-1
6251415760846,m,-2,-1
6251415808477,m,-1,-1
6251415832685,m,-1,0
6251415904656,m,-1,-1
6251415928711,m,-1,-1
6251416001688,m,-1,0
6251416072667,m,-2,0
6251416096969,m,-2,-1
6251416120579,m,-1,-1
6251416144297,m,0,0
6251416217115,m,-1,0
6251416240338,m,-2,-1
6251416264570,m,-1,0
6251416336576,m,-1,-1
6251416408798,m,-2,-1
6251416432344,m,-1,0
6251416456971,m,-1,-1
6251416480811,m,-1,0
6251416624584,m,-3,-1
6251416648466,m,-1,0
6251416720795,m,-1,0
6251416745392,m,-2,0
6251416768424,m,-1,0
6251416792458,m,-1,-1
6251416816715,m,-1,0
6251416864855,m,-1,0
6251416888765,m,0,0
6251416960803,m,-2,0
6251416984523,m,-3,0
6251417008670,m,-1,-1
6251417080632,m,-1,0
6251417104765,m,-4,0
6251417128632,m,-1,0
6251417152657,m,-2,0
6251417177010,m,-1,0
6251417200504,m,-1,0
6251417224396,m,-2,0
6251417248366,m,-2,0
6251417272340,m,-1,0
6251417297166,m,-2,0
6251417320259,m,-2,0
6251417344451,m,-2,0
6251417368233,m,-1,0
6251417392390,m,-2,0
6251417416634,m,-3,0
6251417440545,m,-2,0
6251417464420,m,-1,0
6251417488402,m,-2,0
6251417514125,m,-3,0
6251417536658,m,-1,0
6251417560423,m,-3,0
6251417585566,m,-2,0
6251417609181,m,-2,0
6251417632544,m,-3,0
6251417656389,m,-2,0
6251417680422,m,-2,0
6251417704385,m,-3,0
6251417729063,m,-3,0
6251417752352,m,-1,0
6251417776503,m,-4,0
6251417800585,m,-2,0
6251417824462,m,-2,0
6251417848523,m,-3,1
6251417872770,m,-3,0
6251417896882,m,-2,0
6251417920758,m,-3,0
6251417944529,m,-2,0
6251417968847,m,-4,0
6251417992699,m,-3,0
6251418017263,m,-2,0
6251418040444,m,-3,0
6251418064781,m,-2,0
6251418088262,m,-3,0
6251418112592,m,-3,0
6251418136314,m,-2,0
6251418160217,m,-3,0
6251418184325,m,-3,1
6251418208747,m,-2,0
6251418232268,m,-3,0
6251418256348,m,-2,0
6251418280737,m,-3,0
6251418304429,m,-3,0
6251418328290,m,-2,0
6251418353109,m,-3,1
6251418376619,m,-3,0
6251418400472,m,-2,0
6251418424431,m,-3,0
6251418448365,m,-2,0
6251418472233,m,-3,0
6251418496334,m,-3,0
6251418520476,m,-1,0
6251418544431,m,-3,1
6251418568327,m,-3,0
6251418592643,m,-2,0
6251418617019,m,-2,0
6251418640360,m,-3,0
6251418665561,m,-2,0
6251418688867,m,-2,0
6251418712615,m,-3,0
6251418736728,m,-1,0
6251418760612,m,-3,1
6251418785136,m,-2,0
6251418808449,m,-2,0
6251418832404,m,-2,0
6251418856368,m,-2,0
6251418880318,m,-3,0
6251418904195,m,-1,0
6251418928535,m,-2,0
6251418952470,m,-2,0
6251418977031,m,-2,0
6251419000350,m,-1,0
6251419025045,m,-2,0
6251419048700,m,-2,0
6251419072436,m,-2,0
6251419096718,m,-1,0
6251419120580,m,-1,0
6251419144272,m,-2,0
6251419168340,m,-1,0
6251419192402,m,-2,0
6251419216230,m,0,0
6251419264684,m,-2,0
6251419288417,m,-1,0
6251419312240,m,-1,0
6251419360543,m,-2,0
6251419384309,m,-2,0
6251419408308,m,-1,0
6251419432776,m,-1,0
6251419456601,m,-1,0
6251419480825,m,-1,0
6251419504498,m,-1,0
6251419576721,m,-1,0
6251419600503,m,-1,-1
6251419624338,m,-1,0
6251419696711,m,-1,0
6251419720453,m,-2,0
6251419792854,m,-1,0
6251419865595,m,-1,-1
6251419888275,m,-2,0
6251419936531,m,-1,0
6251419960354,m,-1,-1
6251420009169,m,-1,0
6251420080747,m,-1,0
6251420104672,m,-1,0
6251420128444,m,0,0
6251420152426,m,-1,0
6251420176605,m,-1,0
6251420224739,m,-1,0
6251420248575,m,-1,0
